Record ID,Deal Name,Associated Company (Primary),Deal Stage,Close Date,Deal owner,Amount,HubSpot Team,Deal Tags,Deal Type,Forecast category,Create Date,Deal probability,Weighted amount,Date entered current stage,Associated Company IDs (Primary)
31621302030,Axos Bank_Expansion_2025,Axos Bank,S4 - Solution Fit Confirmed,4/25/2025,Keith Haas,"$700,000.00 ",Sales,New Business,New Business,Commit,1/6/2025,0.81,"$567,000.00 ",3/25/2025 10:11,11521261601
32369587042,Bluefire Insurance (Confie) _New Business_2025,Bluefire Insurance,S4 - Solution Fit Confirmed,6/12/2025,Keith Haas,"$600,000.00 ",Sales,New Business,New Business,Best case,1/23/2025,0.81,"$486,000.00 ",2/2/2025 7:46,28850586130
32785719813,Firstsource Solutions__2025,Firstsource Solutions,S5 - Pricing and Negotiation,4/1/2025,Mike Chasteen,"$375,000.00 ",Sales,Expansion; Overdue,Existing Business,Commit,7/29/2024,0.95,"$356,250.00 ",1/30/2025 15:17,7172607759
18878756097,"Mouser Electronics, Inc.__2025","Mouser Electronics, Inc.",S3 - Initial Deep-dive Completed,10/15/2025,Mike Chasteen,"$280,000.00 ",Sales,New Business,New Business,Pipeline,4/24/2024,0.61,"$170,800.00 ",3/31/2025 15:19,17839965362
32533099693,Anadolu Sigorta_Partner - Resell_2025,Anadolu Sigorta,S2 - Sales Qualified Opportunity,8/22/2025,Chris Maertz,"$380,000.00 ",Partnerships,Partner Related Deal,Partner - Resell,Pipeline,1/27/2025,0.42,"$159,600.00 ",2/4/2025 9:57,8380428865
32803240348,Tungsten H2 Placeholder - Partner - Resell - 2025,Tungsten Automation,S3 - Initial Deep-dive Completed,12/19/2025,Chris Maertz,"$250,000.00 ",Partnerships,Partner Related Deal,Partner - Resell,Pipeline,1/30/2025,0.61,"$152,500.00 ",1/30/2025 16:31,18954523798
33279388999,Turkish Technology_Partner - Resell_2025,Turkish Technology,S3 - Initial Deep-dive Completed,9/26/2025,Chris Maertz,"$225,000.00 ",Partnerships,Partner Related Deal,Partner - Resell,Pipeline,2/10/2025,0.61,"$137,250.00 ",2/12/2025 17:06,29780516114
22706449765,Tungsten Automation Discover_Partner - Resell_2024,discover,S5 - Pricing and Negotiation,6/27/2025,Chris Maertz,"$100,000.00 ",Partnerships,Partner Related Deal,Partner - Resell,Best case,9/27/2024,0.95,"$95,000.00 ",2/18/2025 9:37,3391506080
32218253861,Cottingham & Butler_Expansion_2025,Cottingham & Butler,S3 - Initial Deep-dive Completed,6/12/2025,Keith Haas,"$150,000.00 ",Sales,New Business,New Business,Pipeline,1/19/2025,0.61,"$91,500.00 ",3/25/2025 10:11,7912019567
34632125025,Recorded Books_New Business_2025,Recorded Books,S5 - Pricing and Negotiation,4/25/2025,Keith Haas,"$90,000.00 ",Sales,New Business,New Business,Best case,3/13/2025,0.95,"$85,500.00 ",3/25/2025 10:20,30870850386
32340099500,TTI__2025,TTI,S3 - Initial Deep-dive Completed,6/11/2025,Mike Chasteen,"$100,000.00 ",Sales,New Business,New Business,Pipeline,1/22/2025,0.61,"$61,000.00 ",1/22/2025 16:43,22897571444
21049263686,Alcumus/Veriforce Ltd_New Business_2025,Veriforce Ltd,S5 - Pricing and Negotiation,5/9/2025,Mike Chasteen,"$62,000.00 ",Sales,New Business,New Business,Commit,7/29/2024,0.95,"$58,900.00 ",10/17/2024 14:36,5712985674
28356535360,US Premium Finance_New Business_2025,US Premium Finance,S4 - Solution Fit Confirmed,6/11/2025,Mike Chasteen,"$62,000.00 ",Sales,New Business,New Business,Best case,10/25/2024,0.81,"$50,220.00 ",1/6/2025 5:41,17410476863
32412615579,Societe Generale Algeria_Resell-to_2025,Societe Generale Algeria,S5 - Pricing and Negotiation,5/30/2025,Chris Maertz,"$50,000.00 ",Partnerships,Partner Related Deal,Partner - Resell,Best case,1/24/2025,0.95,"$47,500.00 ",2/18/2025 9:37,28964372896
29124796703,Raqmiyat_New Business_2024,Raqmiyat,S4 - Solution Fit Confirmed,4/18/2025,Keith Haas,"$56,400.00 ",Sales,New Business,New Business,Best case,11/14/2024,0.81,"$45,684.00 ",2/18/2025 9:26,8491008373
32340739419,The Wonderful Company_Expansion_2025,The Wonderful Company,S1 - Introductory Call Completed,10/10/2025,Keith Haas,"$150,000.00 ",Sales,New Business,New Business,Pipeline,1/22/2025,0.3,"$45,000.00 ",1/22/2025 17:16,8282049027
23005590597,Mutual of Omaha_Partner - Referral_2025,Mutual of Omaha Insurance Company,S2 - Sales Qualified Opportunity,8/14/2025,Todd Powell,"$100,000.00 ",Sales,Partner Related Deal,Partner - Referral,Pipeline,10/7/2024,0.42,"$42,000.00 ",1/14/2025 9:23,18755992339
32340736430,Tungsten - TD Ameritrade_Partner - Resell_2025,TD Ameritrade,S2 - Sales Qualified Opportunity,5/21/2025,Todd Powell,"$97,500.00 ",Sales,Partner Related Deal,Partner - Resell,Pipeline,1/22/2025,0.42,"$40,950.00 ",1/22/2025 16:51,22425398854
35032584562,Prime Bank Kenya_Partner - Resell_2025,Prime Bank Kenya,S4 - Solution Fit Confirmed,6/22/2025,Chris Maertz,"$50,000.00 ",Partnerships,Partner Related Deal,Partner - Resell,Best case,3/24/2025,0.81,"$40,500.00 ",4/2/2025 10:22,31375791639
34228492896,Avis Budget Group Inc.__2025,Avis Budget Group Inc.,S2 - Sales Qualified Opportunity,7/8/2025,Mike Chasteen,"$80,000.00 ",Sales,New Business,New Business,Pipeline,3/4/2025,0.42,"$33,600.00 ",3/4/2025 8:35,6384826203
32340736684,Tungsten - Ameriprise Financial_Partner - Resell_2025,Ameriprise Financial,S2 - Sales Qualified Opportunity,5/15/2025,Mike Chasteen,"$80,000.00 ",Sales,Partner Related Deal,Partner - Resell,Pipeline,1/22/2025,0.42,"$33,600.00 ",1/22/2025 16:50,8145025846
28563763384,Illinois Casualty Company_New Business_2025,Illinois Casualty Company,S3 - Initial Deep-dive Completed,5/30/2025,Todd Powell,"$50,000.00 ",Sales,New Business,New Business,Pipeline,10/31/2024,0.61,"$30,500.00 ",1/7/2025 6:22,17410494633
32547183747,GarantiBBVA_Partner - Resell_2025,Garanti BBVA,S3 - Initial Deep-dive Completed,8/30/2025,Chris Maertz,"$50,000.00 ",Partnerships,Partner Related Deal,Partner - Resell,Pipeline,1/27/2025,0.61,"$30,500.00 ",4/2/2025 13:39,29099841044
32415565150,Commonwealth Bank of Australia_Partner - Co-sell_2025,Commonwealth Bank of Australia,S3 - Initial Deep-dive Completed,6/11/2025,Chris Maertz,"$50,000.00 ",Partnerships,,Partner - Co-sell,Pipeline,1/24/2025,0.61,"$30,500.00 ",3/18/2025 9:17,7652196788
32369157700,Land Bank of Philipines_Partner - Resell_2025,Land Bank of the Philippines,S3 - Initial Deep-dive Completed,7/31/2025,Chris Maertz,"$50,000.00 ",Partnerships,Partner Related Deal,Partner - Resell,Pipeline,1/23/2025,0.61,"$30,500.00 ",2/4/2025 9:58,28921783575
33449609019,Flock__2025,Flock,S2 - Sales Qualified Opportunity,8/20/2025,Mike Chasteen,"$62,500.00 ",Sales,New Business,New Business,Pipeline,2/13/2025,0.42,"$26,250.00 ",3/17/2025 10:12,29913057358
35156680092,GIG Desarrollos inmobiliarios_Partner - Resell_2025,GIG Desarrollos inmobiliarios,S2 - Sales Qualified Opportunity,6/30/2025,Chris Maertz,"$57,500.00 ",Partnerships,Partner Related Deal,Partner - Resell,Pipeline,3/27/2025,0.42,"$24,150.00 ",4/1/2025 15:15,31471421106
32340739744,Confie_New Business_2025,Confie,S2 - Sales Qualified Opportunity,8/30/2025,Keith Haas,"$50,000.00 ",Sales,New Business,New Business,Pipeline,1/22/2025,0.42,"$21,000.00 ",2/3/2025 9:16,10575880844
34489638714,SMRTR__2025,SMRTR,S2 - Sales Qualified Opportunity,4/25/2025,Rodney Detrick,"$50,000.00 ",Partnerships,New Business,New Business,Pipeline,3/10/2025,0.42,"$21,000.00 ",3/10/2025 23:23,14771745409
34229489692,FlaxFlow_New Business_2025,FlaxFlow,S2 - Sales Qualified Opportunity,5/23/2025,Rodney Detrick,"$50,000.00 ",Partnerships,Partner Related Deal,Partner - Resell,Pipeline,3/4/2025,0.42,"$21,000.00 ",3/4/2025 9:08,21580293241
34230689705,Savant Labs_Partner - Sell to_2025,Savant Labs,S2 - Sales Qualified Opportunity,5/23/2025,Rodney Detrick,"$50,000.00 ",Partnerships,Partner Related Deal,Partner - Sell to,Pipeline,3/4/2025,0.42,"$21,000.00 ",3/4/2025 8:55,29335722862
34230686812,EmployPlan_Partner - Sell to_2025,EmployPlan,S2 - Sales Qualified Opportunity,6/20/2025,Rodney Detrick,"$50,000.00 ",Partnerships,Partner Related Deal,Partner - Sell to,Pipeline,3/4/2025,0.42,"$21,000.00 ",3/4/2025 8:40,29906342225
18878835318,Chubb INA Holdings Inc_New Business_2025,Chubb INA Holdings Inc,S2 - Sales Qualified Opportunity,6/27/2025,Todd Powell,"$45,000.00 ",Sales,New Business,New Business,Pipeline,4/24/2024,0.42,"$18,900.00 ",5/31/2024 8:58,3392039888
33918972082,UHA Health,Tungsten Automation,S1 - Introductory Call Completed,7/18/2025,Todd Powell,"$50,000.00 ",Sales,New Business,New Business,Pipeline,2/25/2025,0.3,"$15,000.00 ",2/25/2025 9:55,18954523798
32124504481,Arch Capital Group_New Business_2025,Arch Capital Group,S1 - Introductory Call Completed,6/27/2025,Todd Powell,"$50,000.00 ",Sales,New Business,New Business,Pipeline,1/16/2025,0.3,"$15,000.00 ",1/16/2025 12:32,28680461339
23010485337,Divisions Maintenance Group_New Business_2025,Divisions Maintenance Group,S1 - Introductory Call Completed,9/10/2025,Mike Chasteen,"$50,000.00 ",Sales,New Business; Stale,New Business,Pipeline,10/8/2024,0.3,"$15,000.00 ",10/8/2024 7:40,18396064834
35361851300,"Monto Pay, Inc.__2025","Monto Pay, Inc.",S1 - Introductory Call Completed,6/30/2025,Rodney Detrick,"$50,000.00 ",Partnerships,New Business,New Business,Pipeline,4/1/2025,0.3,"$15,000.00 ",4/1/2025 11:07,31567542384
35191025759,RushHealth (AgileLabs)_Partner - Referral_2025,Rush,S1 - Introductory Call Completed,9/25/2025,Rodney Detrick,"$50,000.00 ",Partnerships,Partner Related Deal,Partner - Referral,Pipeline,3/28/2025,0.3,"$15,000.00 ",3/28/2025 16:10,31509257002
34229490063,Odoo_Partner - Sell to_2025,Odoo,S1 - Introductory Call Completed,6/20/2025,Rodney Detrick,"$50,000.00 ",Partnerships,Partner Related Deal,Partner - Sell to,Pipeline,3/4/2025,0.3,"$15,000.00 ",3/4/2025 9:07,7652152333
32415566612,ResistantAI_Partner - Sell To_2025,Resistant AI,S1 - Introductory Call Completed,7/25/2025,Chris Maertz,"$50,000.00 ",Partnerships,Partner Related Deal,Partner - Sell to,Pipeline,1/24/2025,0.3,"$15,000.00 ",1/24/2025 16:40,22616513713
30196977501,P&G_Partner - Resell_2025,P&G,S1 - Introductory Call Completed,5/23/2025,Chris Maertz,"$50,000.00 ",Partnerships,Partner Related Deal,Partner - Resell,Pipeline,12/12/2024,0.3,"$15,000.00 ",12/12/2024 11:57,26951926182
